,Date,city,clouds,country code,humidity,latitude,longitude,pressure,temperature,wind speed
0,1533634394,diego de almagro,32,CL,91,-26.39,-70.05,919.15,46.22,1.25
1,1533630660,flinders,0,AU,43,-34.58,150.85,1011.0,51.8,19.46
2,1533632400,cape town,40,ZA,76,-33.93,18.42,1026.0,53.6,9.17
3,1533634395,gitega,0,BI,48,-3.43,29.93,840.77,76.01,6.96
4,1533632400,nouadhibou,75,MR,88,20.93,-17.03,1012.0,69.8,6.93
5,1533632400,hofn,90,IS,54,64.25,-15.21,996.0,53.6,29.97
6,1533634103,hermanus,88,ZA,100,-34.42,19.24,998.43,46.22,3.71
7,1533634396,palu,48,ID,60,-0.9,119.87,903.67,76.91,1.03
8,1533634396,busselton,44,AU,96,-33.64,115.35,1030.61,61.7,14.67
9,1533634397,porto walter,0,BR,97,-8.27,-72.74,1003.13,66.92,2.04
10,1533632400,punta arenas,90,CL,100,-53.16,-70.91,1010.0,32.0,3.36
11,1533634103,mataura,88,NZ,84,-46.19,168.86,999.97,38.75,2.48
12,1533634398,puerto leguizamo,92,CO,100,-0.19,-74.78,1005.4,70.43,2.26
13,1533632160,ukiah,90,US,34,39.15,-123.21,1014.0,66.2,2.15
14,1533634398,gwadar,8,PK,77,25.12,62.33,1004.43,89.33,8.19
15,1533631800,ilulissat,75,GL,37,69.22,-51.1,1009.0,53.6,19.46
16,1533633540,albany,90,US,94,42.65,-73.75,1016.0,67.95,2.37
17,1533634399,lengshuijiang,36,CN,72,27.66,111.45,978.33,86.45,2.37
18,1533632400,clyde river,1,CA,80,70.47,-68.59,1002.0,39.2,5.82
19,1533634400,haines junction,8,CA,76,60.75,-137.51,897.35,48.56,4.38
20,1533632400,new norfolk,20,AU,57,-42.78,147.06,997.0,48.2,11.41
21,1533632400,hobart,20,AU,57,-42.88,147.33,997.0,48.2,11.41
22,1533634401,chuy,0,UY,92,-33.69,-53.46,1031.66,48.83,11.88
23,1533634401,yumen,0,CN,35,40.29,97.04,844.82,84.92,8.19
24,1533634402,faanui,0,PF,99,-16.48,-151.75,1027.2,80.42,15.35
25,1533632400,sioux lookout,5,CA,100,50.1,-91.92,1015.0,50.0,5.82
26,1533631800,san vicente,0,SV,73,13.64,-88.78,1010.0,77.0,4.7
27,1533634403,waingapu,56,ID,64,-9.65,120.26,987.81,80.33,10.76
28,1533632400,arraial do cabo,75,BR,100,-22.97,-42.02,1022.0,64.4,8.41
29,1533634404,barrow,80,AR,57,-38.31,-60.23,1010.75,56.93,16.24
30,1533634404,atambua,0,ID,72,-9.11,124.89,999.97,84.02,6.29
31,1533634404,voh,20,NC,98,-20.95,164.69,1022.66,70.43,11.77
32,1533632400,saint-philippe,90,CA,94,45.36,-73.48,1012.0,71.17,4.7
