,Date,city,clouds,country code,humidity,latitude,longitude,pressure,temperature,wind speed
0,1533679200,ushuaia,20,AR,100,-54.81,-68.31,1018.0,32.0,10.29
1,1533679200,puerto ayora,0,EC,57,-0.74,-90.35,1009.0,78.8,19.46
2,1533684147,siuna,76,NI,87,13.73,-84.78,1003.26,77.33,3.78
3,1533684147,tiksi,0,RU,78,71.64,128.87,1013.39,52.85,7.52
4,1533684148,labytnangi,92,RU,98,66.66,66.39,1002.86,55.82,7.92
5,1533684148,ambam,76,NG,99,9.52,8.32,937.77,67.7,2.77
6,1533684079,hambantota,56,LK,100,6.12,81.12,1019.47,77.6,16.35
7,1533683982,saskylakh,0,RU,84,71.97,114.09,1016.07,60.77,4.83
8,1533684127,atuona,44,PF,100,-9.8,-139.03,1023.36,76.7,14.34
9,1533683923,hermanus,32,ZA,100,-34.42,19.24,1001.88,35.66,2.77
10,1533682800,fortuna,40,ES,88,38.18,-1.13,1013.0,80.6,5.82
11,1533682800,seoul,20,KR,74,37.57,126.98,1008.0,81.91,4.7
12,1533683873,vaini,100,IN,98,15.34,74.49,953.09,69.41,8.14
13,1533679200,pisco,0,PE,77,-13.71,-76.2,1010.0,64.4,14.99
14,1533684150,khorixas,0,NA,55,-20.37,14.96,917.1,47.27,2.77
15,1533683870,rikitea,24,PF,100,-23.12,-134.97,1033.17,73.55,7.25
16,1533684001,arraial do cabo,48,BR,100,-22.97,-42.02,1036.82,63.83,3.27
17,1533682560,hilo,90,US,65,19.71,-155.08,1014.0,79.45,11.41
18,1533682800,grand gaube,75,MU,64,-20.01,57.66,1020.0,71.6,11.27
19,1533684152,karratha,0,AU,33,-20.74,116.85,1017.93,48.08,3.89
20,1533684047,umm lajj,0,SA,100,25.02,37.27,1004.4,77.96,5.5
21,1533682800,bredasdorp,80,ZA,87,-34.53,20.04,1028.0,46.4,6.93
22,1533684152,qaanaaq,80,GL,90,77.48,-69.36,987.46,38.27,2.21
23,1533684153,upernavik,92,GL,86,72.79,-56.15,1012.99,42.32,6.06
24,1533684153,hervey bay,0,AU,100,-25.3,152.85,1032.36,62.03,9.31
25,1533683964,barrow,92,AR,100,-38.31,-60.23,1010.23,56.18,9.64
26,1533682200,lieto,0,FI,87,60.5,22.46,1015.0,51.8,1.12
